unidad,tema,pregunta,respuesta,instrumento_evaluacion,tipo
UD02,Tecnologías Habilitadoras (THD),Cita una THD que haya transformado un producto en un nuevo modelo de negocio,"P. ej., la combinación de sensores + app + nube que convierte una pulsera en un servicio de salud (Internet de las cosas)",BA1.b,b
UD02,Tecnologías Habilitadoras (THD),"¿Qué diferencia hay entre IaaS, PaaS y SaaS de mayor a menor control del cliente?","IaaS (infraestructura, ejemplo: VPS) > PaaS (plataforma, ejemplo: base de datos gestionada) > SaaS (software, ejemplo: Microsoft 365)",BA1.b,b
UD03,Computación en la Nube,¿Qué es edge computing y cómo se relaciona con la nube?,"Procesar datos junto a la fuente en vez de en un datacenter remoto; complementa a la nube cuando importan latencia, ancho de banda o privacidad",BA1.b,b
UD03,Computación en la Nube,Diferencia fog computing de mist computing en una frase,Fog: nodos intermedios locales que pre-procesan para varios dispositivos; mist: el procesamiento baja a los propios dispositivos de red/sensores,BA1.b,b
UD03,Computación en la Nube,¿Qué ventaja del cloud debe vigilar un administrador de sistemas?,"Dependencia del proveedor, costes desbocados o datos fuera de la UE (riesgos de la nube pública)",BA1.b,b
UD04,Inteligencia Artificial,¿Qué tipo de tareas rinde mejor la IA en una empresa?,"Volumen y repetición; p. ej., filtrar 300 alertas semanales quedándose con las 5 anómalas",BA1.b,b
UD04,Inteligencia Artificial,¿Por qué se dice que la IA «no es neutral»?,"Aprende de datos que pueden contener sesgos y sus errores (alucinaciones) tienen consecuencias reales, por lo que debe supervisarse",BA1.b,b
UD04,Inteligencia Artificial,¿Qué lenguaje asociarías a un pipeline de datos con ML y por qué?,"Python, por su ecosistema (pandas, scikit-learn) y legibilidad para scripts operativos",BA1.b,b
UD05,Big Data,¿Qué son los 5 V del Big Data?,"Volumen (mucho), velocidad (rápido), variedad (heterogéneo), veracidad (a validar) y valor (útil o coste)",BA1.b,b
UD05,Big Data,"¿Qué diferencia hay entre dato, información y conocimiento con un ejemplo de red?",Dato: 192.168.1.40. Información: «ese equipo generó 400 errores 403 hoy». Conocimiento: «hay que bloquearlo: es un escaneo»,BA1.b,b
UD05,Big Data,¿Qué dos cosas debe garantizar una política de retención de datos?,"Qué se guarda y cuánto tiempo, y cuándo y cómo se destruye de forma segura",BA1.b,b
UD06,Ciberseguridad,¿Qué es la tríada CIA con un ejemplo por letra?,"Confidencialidad (ej. permisos), integridad (ej. hashes/firmas), disponibilidad (ej. copias/redundancia)",BA1.b,b
UD06,Ciberseguridad,¿Qué plazos de notificación exigen RGPD y NIS2 ante una brecha?,"RGPD: 72 h. NIS2: 24 h (alerta temprana), con responsabilidad directiva",BA1.b,b
UD06,Ciberseguridad,Cita 3 medidas del kit mínimo del administrador,"MFA en todo lo expuesto, parches al día y segmentación con mínimo privilegio (entre otras)",BA1.b,b
UD06,Ciberseguridad,¿Qué es la regla 3-2-1 de copias de seguridad?,"3 copias, 2 soportes diferentes y 1 copia externa/offline; la copia no probada no existe",BA1.b,b
UD07,Proyecto de Transformación Digital,¿Qué CE corresponden al diagnóstico y a los objetivos de un proyecto de digitalización?,"CE a (objetivos estratégicos), b (áreas), c (áreas digitalizables) y e (necesidades presentes/futuras)",BA1.b,b
UD07,Proyecto de Transformación Digital,¿Qué debe incluir el análisis de brechas de seguridad de un proyecto?,Brecha por área + mitigación concreta (técnica y organizativa),BA1.b,b
UD07,Proyecto de Transformación Digital,¿Para qué sirve el resumen ejecutivo de una página de un proyecto de digitalización?,"Para que la dirección decida sin leer la memoria entera: qué, cuánto, cuándo y qué gana",BA1.b,b
UD07,Proyecto de Transformación Digital,¿Qué CE compartes con el proyecto intermodular de FP?,"CE d (encaje de áreas), f (tecnologías por área), i (integración datos/apps) y j (cambios documentados)",BA1.b,b
UD01,Digitalización y transformación digital,¿Qué diferencia un plan de digitalización de la transformación digital?,"El plan es la hoja de ruta (diagnóstico, objetivos medibles, recursos, gestión del cambio); la transformación es el proceso integral de cambio en cultura, procesos, tecnología y estrategia",BA1.b,b
